Restrição 1: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 2: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 3: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 4: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 5: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 6: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 7: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 8: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 9: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 10: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 11: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 12: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 13: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 14: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 15: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 16: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 17: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 18: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 19: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 20: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 21: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 22: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 23: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 24: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 25: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 26: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 27: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 28: DuracaoMinimaMaxima, Tipo: 4, Limite Inferior: 6, Limite Superior: 8
Restrição 29: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 30: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 31: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 32: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 33: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 34: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 35: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 36: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 37: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 38: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 39: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 40: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 41: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 42: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 43: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 44: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 45: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 46: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 47: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 48: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 49: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 50: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
Restrição 51: quantidadeMinimaEMaxima, Tipo: 4, Limite Inferior: 1, Limite Superior: 8
